record_id,region,category_title,videos_count,date
122,France,Autos & Vehicles,12,23/03/2018
123,France,Autos & Vehicles,6,24/03/2018
124,France,Autos & Vehicles,6,25/03/2018
125,France,Autos & Vehicles,10,26/03/2018
126,France,Autos & Vehicles,2,27/03/2018
127,France,Autos & Vehicles,8,28/03/2018
128,France,Autos & Vehicles,2,29/03/2018
129,France,Autos & Vehicles,8,30/03/2018
130,France,Autos & Vehicles,8,31/03/2018
131,France,Autos & Vehicles,14,01/04/2018
132,France,Autos & Vehicles,8,02/04/2018
133,France,Autos & Vehicles,4,03/04/2018
134,France,Autos & Vehicles,4,04/04/2018
135,France,Autos & Vehicles,8,05/04/2018
136,France,Autos & Vehicles,10,06/04/2018
137,France,Autos & Vehicles,10,07/04/2018
138,France,Autos & Vehicles,4,14/04/2018
139,France,Autos & Vehicles,4,16/04/2018
140,France,Autos & Vehicles,6,17/04/2018
141,France,Autos & Vehicles,8,18/04/2018
142,France,Autos & Vehicles,8,19/04/2018
143,France,Autos & Vehicles,10,20/04/2018
144,France,Autos & Vehicles,8,21/04/2018
145,France,Autos & Vehicles,14,23/04/2018
146,France,Autos & Vehicles,10,24/04/2018
147,France,Autos & Vehicles,4,25/04/2018
148,France,Autos & Vehicles,4,26/04/2018
149,France,Autos & Vehicles,2,27/04/2018
150,France,Autos & Vehicles,8,28/04/2018
151,France,Autos & Vehicles,4,29/04/2018
152,France,Autos & Vehicles,6,30/04/2018
153,France,Autos & Vehicles,6,01/05/2018
154,France,Autos & Vehicles,2,02/05/2018
155,France,Autos & Vehicles,8,03/05/2018
156,France,Autos & Vehicles,6,04/05/2018
157,France,Autos & Vehicles,6,05/05/2018
158,France,Autos & Vehicles,2,06/05/2018
159,France,Autos & Vehicles,6,08/05/2018
160,France,Autos & Vehicles,2,09/05/2018
161,France,Autos & Vehicles,8,10/05/2018
162,France,Autos & Vehicles,2,11/05/2018
163,France,Autos & Vehicles,2,12/05/2018
164,France,Autos & Vehicles,6,13/05/2018
165,France,Autos & Vehicles,4,14/05/2018
166,France,Autos & Vehicles,6,15/05/2018
167,France,Autos & Vehicles,2,16/05/2018
168,France,Autos & Vehicles,2,17/05/2018
169,France,Autos & Vehicles,6,18/05/2018
170,France,Autos & Vehicles,6,19/05/2018
171,France,Autos & Vehicles,4,20/05/2018
172,France,Autos & Vehicles,4,21/05/2018
173,France,Autos & Vehicles,2,22/05/2018
174,France,Autos & Vehicles,2,23/05/2018
175,France,Autos & Vehicles,6,24/05/2018
176,France,Autos & Vehicles,12,25/05/2018
177,France,Autos & Vehicles,4,26/05/2018
178,France,Autos & Vehicles,6,27/05/2018
179,France,Autos & Vehicles,2,29/05/2018
180,France,Autos & Vehicles,8,30/05/2018
181,France,Autos & Vehicles,4,31/05/2018
182,France,Autos & Vehicles,4,01/06/2018
183,France,Autos & Vehicles,2,03/06/2018
184,France,Autos & Vehicles,4,04/06/2018
185,France,Autos & Vehicles,6,05/06/2018
186,France,Autos & Vehicles,2,06/06/2018
187,France,Autos & Vehicles,8,08/06/2018
188,France,Autos & Vehicles,6,09/06/2018
189,France,Autos & Vehicles,2,10/06/2018
190,France,Autos & Vehicles,4,11/06/2018
191,France,Autos & Vehicles,4,12/06/2018
192,France,Autos & Vehicles,4,13/06/2018
193,France,Autos & Vehicles,2,14/06/2018
194,France,Comedy,46,14/11/2017
195,France,Comedy,38,15/11/2017
196,France,Comedy,56,16/11/2017
197,France,Comedy,62,17/11/2017
198,France,Comedy,70,18/11/2017
199,France,Comedy,56,19/11/2017
200,France,Comedy,50,20/11/2017
201,France,Comedy,42,21/11/2017
202,France,Comedy,42,22/11/2017
203,France,Comedy,50,23/11/2017
204,France,Comedy,52,24/11/2017
205,France,Comedy,68,25/11/2017
206,France,Comedy,66,26/11/2017
207,France,Comedy,44,27/11/2017
208,France,Comedy,48,28/11/2017
209,France,Comedy,50,29/11/2017
210,France,Comedy,46,30/11/2017
211,France,Comedy,54,01/12/2017
212,France,Comedy,58,02/12/2017
213,France,Comedy,48,03/12/2017
214,France,Comedy,40,04/12/2017
215,France,Comedy,48,05/12/2017
216,France,Comedy,28,06/12/2017
217,France,Comedy,38,07/12/2017
218,France,Comedy,44,08/12/2017
219,France,Comedy,58,09/12/2017
220,France,Comedy,46,10/12/2017
221,France,Comedy,50,11/12/2017
222,France,Comedy,46,12/12/2017
223,France,Comedy,38,13/12/2017
224,France,Comedy,54,14/12/2017
225,France,Comedy,72,15/12/2017
226,France,Comedy,82,16/12/2017
227,France,Comedy,64,17/12/2017
228,France,Comedy,56,18/12/2017
229,France,Comedy,50,19/12/2017
230,France,Comedy,60,20/12/2017
231,France,Comedy,62,21/12/2017
232,France,Comedy,74,22/12/2017
233,France,Comedy,66,23/12/2017
234,France,Comedy,50,24/12/2017
235,France,Comedy,54,25/12/2017
236,France,Comedy,40,26/12/2017
237,France,Comedy,26,27/12/2017
238,France,Comedy,44,28/12/2017
239,France,Comedy,44,29/12/2017
240,France,Comedy,38,30/12/2017
241,France,Comedy,36,31/12/2017
242,France,Comedy,42,01/01/2018
243,France,Comedy,34,02/01/2018
244,France,Comedy,32,03/01/2018
245,France,Comedy,42,04/01/2018
246,France,Comedy,36,05/01/2018
247,France,Comedy,34,06/01/2018
248,France,Comedy,42,07/01/2018
249,France,Comedy,38,08/01/2018
250,France,Comedy,48,09/01/2018
251,France,Comedy,54,12/01/2018
252,France,Comedy,52,13/01/2018
253,France,Comedy,44,14/01/2018
254,France,Comedy,42,15/01/2018
255,France,Comedy,42,16/01/2018
256,France,Comedy,48,17/01/2018
257,France,Comedy,56,18/01/2018
258,France,Comedy,42,19/01/2018
259,France,Comedy,52,20/01/2018
260,France,Comedy,56,21/01/2018
261,France,Comedy,38,22/01/2018
262,France,Comedy,38,23/01/2018
263,France,Comedy,36,24/01/2018
264,France,Comedy,44,25/01/2018
265,France,Comedy,50,26/01/2018
266,France,Comedy,46,27/01/2018
267,France,Comedy,38,28/01/2018
268,France,Comedy,44,29/01/2018
269,France,Comedy,28,30/01/2018
270,France,Comedy,30,31/01/2018
271,France,Comedy,26,01/02/2018
272,France,Comedy,30,02/02/2018
273,France,Comedy,46,03/02/2018
274,France,Comedy,32,04/02/2018
275,France,Comedy,42,05/02/2018
276,France,Comedy,48,06/02/2018
277,France,Comedy,24,07/02/2018
278,France,Comedy,34,08/02/2018
279,France,Comedy,38,09/02/2018
280,France,Comedy,28,10/02/2018
281,France,Comedy,26,11/02/2018
282,France,Comedy,34,12/02/2018
283,France,Comedy,36,13/02/2018
284,France,Comedy,28,14/02/2018
285,France,Comedy,20,15/02/2018
286,France,Comedy,28,16/02/2018
287,France,Comedy,30,17/02/2018
288,France,Comedy,30,18/02/2018
289,France,Comedy,26,19/02/2018
290,France,Comedy,24,20/02/2018
291,France,Comedy,22,21/02/2018
292,France,Comedy,40,22/02/2018
293,France,Comedy,32,23/02/2018
294,France,Comedy,46,24/02/2018
295,France,Comedy,42,25/02/2018
296,France,Comedy,44,26/02/2018
297,France,Comedy,40,27/02/2018
298,France,Comedy,32,28/02/2018
299,France,Comedy,38,01/03/2018
300,France,Comedy,46,02/03/2018
301,France,Comedy,34,03/03/2018
302,France,Comedy,30,04/03/2018
303,France,Comedy,38,05/03/2018
304,France,Comedy,30,06/03/2018
305,France,Comedy,38,07/03/2018
306,France,Comedy,46,08/03/2018
307,France,Comedy,36,09/03/2018
308,France,Comedy,30,10/03/2018
309,France,Comedy,26,11/03/2018
310,France,Comedy,52,12/03/2018
311,France,Comedy,48,13/03/2018
312,France,Comedy,48,14/03/2018
313,France,Comedy,32,15/03/2018
314,France,Comedy,44,16/03/2018
315,France,Comedy,40,17/03/2018
316,France,Comedy,16,18/03/2018
317,France,Comedy,24,19/03/2018
318,France,Comedy,32,20/03/2018
319,France,Comedy,36,21/03/2018
320,France,Comedy,34,22/03/2018
321,France,Comedy,38,23/03/2018
322,France,Comedy,34,24/03/2018
323,France,Comedy,24,25/03/2018
324,France,Comedy,30,26/03/2018
325,France,Comedy,36,27/03/2018
326,France,Comedy,36,28/03/2018
327,France,Comedy,52,29/03/2018
328,France,Comedy,54,30/03/2018
329,France,Comedy,36,31/03/2018
330,France,Comedy,24,01/04/2018
331,France,Comedy,38,02/04/2018
332,France,Comedy,32,03/04/2018
333,France,Comedy,54,04/04/2018
334,France,Comedy,52,05/04/2018
335,France,Comedy,46,06/04/2018
336,France,Comedy,56,07/04/2018
337,France,Comedy,32,14/04/2018
338,France,Comedy,40,15/04/2018
339,France,Comedy,42,16/04/2018
340,France,Comedy,38,17/04/2018
341,France,Comedy,38,18/04/2018
342,France,Comedy,36,19/04/2018
343,France,Comedy,36,20/04/2018
344,France,Comedy,40,21/04/2018
345,France,Comedy,46,22/04/2018
346,France,Comedy,46,23/04/2018
347,France,Comedy,34,24/04/2018
348,France,Comedy,32,25/04/2018
349,France,Comedy,44,26/04/2018
350,France,Comedy,52,27/04/2018
351,France,Comedy,58,28/04/2018
352,France,Comedy,42,29/04/2018
353,France,Comedy,34,30/04/2018
354,France,Comedy,26,01/05/2018
355,France,Comedy,38,02/05/2018
356,France,Comedy,38,03/05/2018
357,France,Comedy,32,04/05/2018
358,France,Comedy,38,05/05/2018
359,France,Comedy,40,06/05/2018
360,France,Comedy,54,07/05/2018
361,France,Comedy,52,08/05/2018
362,France,Comedy,42,09/05/2018
363,France,Comedy,34,10/05/2018
364,France,Comedy,30,11/05/2018
365,France,Comedy,36,12/05/2018
366,France,Comedy,32,13/05/2018
367,France,Comedy,20,14/05/2018
368,France,Comedy,34,15/05/2018
369,France,Comedy,28,16/05/2018
370,France,Comedy,32,17/05/2018
371,France,Comedy,36,18/05/2018
372,France,Comedy,34,19/05/2018
373,France,Comedy,32,20/05/2018
374,France,Comedy,42,21/05/2018
375,France,Comedy,48,22/05/2018
376,France,Comedy,44,23/05/2018
